split,kelas,filename,width,height,format
train,Anorganik,cardboard1000_jpg.rf.942798dbf4e34070c840230e83ce8f5f.jpg,224,224,JPEG
train,Anorganik,cardboard1003_jpg.rf.b727d2c5b43ea55b071353579ceb69e2.jpg,224,224,JPEG
train,Anorganik,cardboard1004_jpg.rf.78f76dccfa0398b1ee70fe56fa212246.jpg,224,224,JPEG
train,Anorganik,cardboard1005_jpg.rf.0ea444a6aac34b4143cec2e6ece8b23f.jpg,224,224,JPEG
train,Anorganik,cardboard1007_jpg.rf.9fc13a1f52be5ca0a6e21fc0206bb7d0.jpg,224,224,JPEG
train,Anorganik,cardboard1008_jpg.rf.1ad44cc8eefe7880e79b173842c6768b.jpg,224,224,JPEG
train,Anorganik,cardboard100_jpg.rf.2b72e44b26830bb2793d024fcf872ea2.jpg,224,224,JPEG
train,Anorganik,cardboard1010_jpg.rf.7825834afe10d5bf15123f7c824cb8f5.jpg,224,224,JPEG
train,Anorganik,cardboard1011_jpg.rf.052a05f647dc5de4046a84409c52c18b.jpg,224,224,JPEG
train,Anorganik,cardboard1012_jpg.rf.ef13d3686bff09d9ea9bb1654e900fa3.jpg,224,224,JPEG
train,Anorganik,cardboard1013_jpg.rf.2c73fe8cd350a400f85f83232fa89929.jpg,224,224,JPEG
train,Anorganik,cardboard1014_jpg.rf.0151b1013b2dd0624985ec956cfadef5.jpg,224,224,JPEG
train,Anorganik,cardboard1015_jpg.rf.386f8839510a0e05058a6b63ddd432a9.jpg,224,224,JPEG
train,Anorganik,cardboard1017_jpg.rf.9a6cc06f12230f0d1002d84067ecbcb9.jpg,224,224,JPEG
train,Anorganik,cardboard1019_jpg.rf.f28501f4818983dc88ff139597f21d07.jpg,224,224,JPEG
train,Anorganik,cardboard101_jpg.rf.cb75a2e9fb42d0dba245a5b0bfd55bdf.jpg,224,224,JPEG
train,Anorganik,cardboard1020_jpg.rf.085e0be0269490dbf1f3aff5482628d5.jpg,224,224,JPEG
train,Anorganik,cardboard1021_jpg.rf.052a1ffca8858c9bee926d98dc25d1a9.jpg,224,224,JPEG
train,Anorganik,cardboard1022_jpg.rf.559103bee14a32895587b5a7976a94a8.jpg,224,224,JPEG
train,Anorganik,cardboard1023_jpg.rf.1de378cad918749cf091d851c5f9f5e0.jpg,224,224,JPEG
train,Anorganik,cardboard1025_jpg.rf.17dbd5a864fd92381e74b446ab744b0b.jpg,224,224,JPEG
train,Anorganik,cardboard1026_jpg.rf.e12f0fc2013705e37cc6a54b473724d1.jpg,224,224,JPEG
train,Anorganik,cardboard1027_jpg.rf.6d4d98404958ee07a253c272b4e3b4b4.jpg,224,224,JPEG
train,Anorganik,cardboard1028_jpg.rf.32751c50c482ad24aaca269ce7daa36a.jpg,224,224,JPEG
train,Anorganik,cardboard102_jpg.rf.f672a163be98f06b85758597de3f2523.jpg,224,224,JPEG
train,Anorganik,cardboard1030_jpg.rf.8419bc08cfb41d80bb82f2c2af2479f4.jpg,224,224,JPEG
train,Anorganik,cardboard1032_jpg.rf.ddb8c74acc96eac557e9d78f71655c5e.jpg,224,224,JPEG
train,Anorganik,cardboard1033_jpg.rf.e55da4f04ddc55cc40c353202a8dc004.jpg,224,224,JPEG
train,Anorganik,cardboard1034_jpg.rf.772db9c69832064381ec9e2655deaa6a.jpg,224,224,JPEG
